arm,label,combine_obs,retap_mode,segment,adopted_arm,num_cells,num_symbols,num_trades,win_rate,mean_net_r,gross_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,cost_r,identity_max_abs,stop_width_p50,stop_width_p90,entry_in_zone_p50,retap_trades,retap_trade_share,reentry_trades,zone_retap_and_reentry,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,symbols_below_gate,min_symbol_trades
split_every,분리·매탭,False,every_tap,full,True,48,12,49431,0.4042604843114644,-0.098107678931886,0.0769024269073247,0.1053928135398491,0.0265259602670945,0.0108836628997112,0.031269392597416,3.805982697688772e-06,0.0009344705524412,0.1750101058392091,5.684341886080804e-14,0.0086082355295731,0.0268018267734975,-0.0078284730848859,15794,0.3195160931399324,6216,0,-29.418246687520018,20.65579126431821,-1.4242130117928955,24,247.06611451684415,247.06611451684415,44657,0,3042
split_every,분리·매탭,False,every_tap,is,True,48,12,34606,0.4057388892099636,-0.0889798437066898,0.0770551003921623,0.0997138111141467,0.0250956925223773,0.0102961884682233,0.0295899446240192,0.0,0.0013393073700853,0.1660349440988513,5.684341886080804e-14,0.0092785970924949,0.028803550202435,-0.0074619047619052,10971,0.3170259492573542,4625,0,-18.356675084331364,13.004535840445596,-1.4115594212320903,24,247.06611451684415,247.06611451684415,29832,0,2361
split_every,분리·매탭,False,every_tap,oos_warm,True,48,12,14825,0.4008094435075885,-0.1194147862373233,0.0765460411659222,0.1186493098598401,0.0298646345047796,0.0122550045642014,0.0351897282849281,1.2690288750722004e-05,-1.0540099254702407e-05,0.1959608274032462,5.684341886080804e-14,0.0072374201762223,0.021228217146692,-0.0088000000000004,4824,0.3253962900505902,1591,0,-11.06157160318877,9.956212511599691,-1.1110220468176284,16,42.65054766675442,42.65054766675442,12185,0,681
split_every,분리·매탭,False,every_tap,oos,True,48,12,14525,0.3992426850258175,-0.1241516499838635,0.0729559698368246,0.1193598759061309,0.0300099993622486,0.0122606445541456,0.0354653750357639,1.4773018014194422e-05,-3.0480556150115647e-06,0.1971076198206893,5.684341886080804e-14,0.0071884157554057,0.0207177089521486,-0.0089738095238098,4705,0.3239242685025817,1509,0,-11.185677849155468,10.233882959200226,-1.093004277433091,16,69.04169611021733,69.04169611021733,12226,0,683
merge_every,병합·매탭,True,every_tap,full,False,48,12,44777,0.4040243875203788,-0.0928204758921475,0.0725120627059345,0.0994412416322213,0.0250220174008591,0.010257031048722,0.0295149195864733,4.281446229857226e-06,0.0010930474835774,0.1653325385980815,5.684341886080804e-14,0.0093880363803617,0.0302767992282826,-0.0060884568167461,11068,0.2471804721173817,6033,0,-25.12478370968844,15.39351863448329,-1.6321663880931014,25,103.01742224674904,103.01742224674904,38152,0,2892
merge_every,병합·매탭,True,every_tap,oos_warm,False,48,12,13522,0.3972785090962875,-0.1216853704395847,0.0632573256857866,0.1120178752337639,0.0281347612926523,0.0114469032559897,0.0333420341935572,1.4177659949291304e-05,-1.3055510541326396e-05,0.1849426961253727,5.684341886080804e-14,0.0079085017384732,0.0243258423274608,-0.0069014421161618,3362,0.2486318591924271,1592,0,-10.278155228952354,8.983668756487129,-1.1440932994697153,18,791.036075650094,791.036075650094,10975,0,672
split_once,분리·첫탭만,False,once,full,False,48,12,42733,0.4104556197786254,-0.0809328173074412,0.0918481738971956,0.1039657130746161,0.0262966934302054,0.0109991877136847,0.0305858076423142,4.356775055639839e-06,0.0009292325687618,0.1727809912046365,5.684341886080803e-14,0.0086692304586498,0.0267436225036869,-0.0131085106382934,0,0.0,14106,0,-20.593315964162965,10.462854647323224,-1.9682311050198409,23,34.35185422666194,34.35185422666194,35538,0,2685
split_once,분리·첫탭만,False,once,oos_warm,False,48,12,12945,0.4061799922750096,-0.1041734857763262,0.0894287891573365,0.1172319401886428,0.0296059950623504,0.0123075086076076,0.034571469411263,1.4382237810170508e-05,-0.0001290205740113,0.193602274933663,5.684341886080803e-14,0.0073389082815718,0.0210167365694024,-0.0158075187969864,0,0.0,4142,0,-8.213014180814092,7.534580727216163,-1.0900426285363582,16,127.31147209996408,127.31147209996408,10091,0,608
merge_once,병합·첫탭만,True,once,full,False,48,12,40650,0.40843788437884376,-0.0801056917175659,0.08286022949013673,0.09793186371891424,0.024747035609829864,0.010313163109712068,0.028856924623561913,4.791722981603527e-06,0.001112142422704318,0.1629659212077028,5.684341886080802e-14,0.009495256011021583,0.030509160373433684,-0.0109121387283237,0,0.0,11959,0,-20.104007951656868,10.96739384971592,-1.8330706662985032,25,465.38493687017547,465.38493687017547,33713,0,2666
merge_once,병합·첫탭만,True,once,oos_warm,False,48,12,12433,0.4040054693155313,-0.10328696631624325,0.0795848937200414,0.11072678513700986,0.027935502421729933,0.011568286225744729,0.032706308978989504,1.566665641455669e-05,-8.06893836038009e-05,0.18287186003628544,5.684341886080802e-14,0.0080023258852681,0.02423271086912326,-0.013339622641505509,0,0.0,3506,0,-8.076647871761883,7.11249468978632,-1.1355576663361318,17,132.42972004597954,132.42972004597954,9647,0,628
