check,segment,metric,left,right,abs_diff
(a-1) 기준 팔 후보 ≡ 엔진 base+재진입 (칸·구간별),all,mismatched_cells,0.0,0.0,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,full,num_trades,49432.0,49432.0,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,full,win_rate,0.4041106975238712,0.4041106975238712,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,full,total_return,-0.9999999999999997,-0.9999999999999997,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,full,max_drawdown,0.9999999999999997,0.9999999999999997,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,full,peak_concurrency,24.0,24.0,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,full,liquidation_events,0.0,0.0,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,is,num_trades,34589.0,34589.0,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,is,win_rate,0.4057359276070427,0.4057359276070427,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,is,total_return,-0.9999999999875893,-0.9999999999875893,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,is,max_drawdown,0.9999999999910006,0.9999999999910006,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,is,peak_concurrency,24.0,24.0,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,is,liquidation_events,0.0,0.0,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,oos_warm,num_trades,14843.0,14843.0,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,oos_warm,win_rate,0.4003233847604932,0.4003233847604932,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,oos_warm,total_return,-0.9999985857315258,-0.9999985857315258,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,oos_warm,max_drawdown,0.9999990779430545,0.9999990779430545,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,oos_warm,peak_concurrency,17.0,17.0,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,oos_warm,liquidation_events,0.0,0.0,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,oos,num_trades,14534.0,14534.0,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,oos,win_rate,0.3990642631071969,0.3990642631071969,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,oos,total_return,-0.9999985524869902,-0.9999985524869902,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,oos,max_drawdown,0.9999990865000083,0.9999990865000083,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,oos,peak_concurrency,17.0,17.0,0.0
(a-2) 채택 점 지갑 ≡ 채택 북 지갑,oos,liquidation_events,0.0,0.0,0.0
(b) 배수 불변 진입 집합 (6점),full,distinct_entry_sets,1.0,1.0,0.0
(c) 진입 유동성 · 기준 = maker,full,wrong_liquidity,0.0,0.0,0.0
(d) WAN-381 대조 · 0.6R,full,num_trades,67207.0,67207.0,0.0
(d) WAN-381 대조 · 0.6R,full,win_rate,0.6718942967250435,0.6718942967250435,0.0
(d) WAN-381 대조 · 0.6R,full,mean_net_r,-0.006836669985124635,-0.0068366699851246,3.469446951953614e-17
(d) WAN-381 대조 · 0.6R,full,mean_gross_r,0.05439777908213205,0.054397779082132,4.85722573273506e-17
(d) WAN-381 대조 · 0.6R,full,total_return_flat,-1.2600939190997578,-1.2600939190997578,0.0
(d) WAN-381 대조 · 0.6R,full,max_drawdown,1.4187493622014922,1.4187493622014922,0.0
(d) WAN-381 대조 · 0.6R,full,guard_cut,17803.0,17803.0,0.0
(d) WAN-381 대조 · 0.6R,is,num_trades,47152.0,47152.0,0.0
(d) WAN-381 대조 · 0.6R,is,win_rate,0.66949440108585,0.66949440108585,0.0
(d) WAN-381 대조 · 0.6R,is,mean_net_r,-0.007002822134026624,-0.0070028221340266,2.3418766925686896e-17
(d) WAN-381 대조 · 0.6R,is,mean_gross_r,0.05131286272616606,0.051312862726166,5.551115123125783e-17
(d) WAN-381 대조 · 0.6R,is,total_return_flat,-0.04746107471279774,-0.0474610747127977,4.163336342344337e-17
(d) WAN-381 대조 · 0.6R,is,max_drawdown,0.8832132480907007,0.8832132480907007,0.0
(d) WAN-381 대조 · 0.6R,is,guard_cut,17803.0,17803.0,0.0
